Test Method,MTS Simplified Tensile Edited.msm,,,
Sample I. D.,GroupB_polycarbonate.mss,,,
Specimen Number,5,,Trial 1,
,,,,
Load (N),Time (min),Extension (mm),Stress (MPa),Strain (mm/mm)
,,,,
1844.905,1.145,15.84,,
1844.691,1.147,15.863,,
1844.892,1.148,15.886,,
1844.777,1.15,15.909,,
1844.627,1.152,15.933,,
1844.76,1.153,15.956,,
1844.582,1.155,15.98,,
1844.668,1.157,16.003,,
1844.256,1.158,16.026,,
1844.224,1.16,16.049,,
1844.506,1.162,16.073,,
1844.048,1.163,16.096,,
1844.236,1.165,16.12,,
1844.136,1.167,16.143,,
1844.097,1.168,16.166,,
1844.245,1.17,16.19,,
1844.044,1.172,16.213,,
1844.175,1.173,16.237,,
1844.008,1.175,16.26,,
1843.882,1.177,16.283,,
1844.249,1.178,16.307,,
1843.675,1.18,16.33,,
1843.649,1.182,16.353,,
1842.801,1.183,16.376,,
1842.788,1.185,16.399,,
1842.81,1.187,16.423,,
1842.225,1.188,16.446,,
1842.1,1.19,16.47,,
1841.405,1.192,16.493,,
1840.691,1.193,16.517,,
1839.581,1.195,16.54,,
1837.839,1.197,16.563,,
1835.656,1.198,16.587,,
1831.951,1.2,16.609,,
1825.768,1.202,16.633,,
1812.039,1.203,16.656,,
1498.63,1.205,16.68,,
-149.394,1.205,16.683,,
